1,0,168,,,
2,2,40,,,
3,2,88,,,
4,1,170,,,
5,3,76,,,
6,2,74,,,
7,2,63,,,
8,3,21,,,
9,3,8,,,
10,2,59,,,
11,3,98,,,
12,3,96,,,
13,1,179,,,
14,3,93,,,
15,2,44,,,
16,3,15,,,
17,2,81,,,
18,0,167,,,
19,1,131,,,
20,1,92,,,
21,2,158,,,
22,2,113,,,
23,2,69,,,
24,3,53,,,
25,2,30,,,
26,0,154,,,
27,0,180,,,
28,1,89,,,
29,1,150,,,
30,1,161,,,
31,3,25,,,
32,0,171,,,
33,0,137,,,
34,3,84,,,
35,2,120,,,
36,2,42,,,
37,1,146,,,
38,2,30,,,
39,1,139,,,
40,3,41,,,
41,2,55,,,
42,3,24,,,
43,3,33,,,
44,0,178,,,
45,3,3,,,
45,1,163,,,
46,2,73,,,
47,2,46,,,
48,2,87,,,
49,1,66,,,
50,1,106,,,
51,2,71,,,
52,0,165,,,
53,3,48,,,
54,0,141,,,
55,2,107,,,
56,3,10,,,
57,3,2,,,
58,2,140,,,
59,0,156,,,
60,2,94,,,
61,3,13,,,
62,1,124,,,
63,3,22,,,
64,2,118,,,
65,2,110,,,
66,0,134,,,
67,0,143,,,
68,2,128,,,
69,0,174,,,
70,1,114,,,
71,3,43,,,
72,3,11,,,
73,1,177,,,
74,1,133,,,
75,2,80,,,
76,2,152,,,
77,3,9,,,
78,3,19,,,
79,3,16,,,
80,2,78,,,
81,3,20,,,
82,2,62,,,
83,2,101,,,
84,1,130,,,
85,1,95,,,
86,3,61,,,
87,1,99,,,
88,1,153,,,
89,3,37,,,
90,2,67,,,
91,1,173,,,
92,0,160,,,
93,2,123,,,
94,3,29,,,
95,3,7,,,
96,2,68,,,
97,0,175,,,
98,0,127,,,
99,2,75,,,
100,2,111,,,
101,0,147,,,
102,3,4,,,
103,1,166,,,
104,2,90,,,
105,2,72,,,
106,1,122,,,
107,1,112,,,
108,1,83,,,
109,2,65,,,
110,1,54,,,
111,0,135,,,
112,1,138,,,
113,2,79,,,
114,0,176,,,
115,3,18,,,
116,3,17,,,
117,1,97,,,
118,0,172,,,
119,1,100,,,
120,3,14,,,
121,3,116,,,
122,1,169,,,
123,3,56,,,
124,1,164,,,
125,2,105,,,
126,2,64,,,
127,1,82,,,
128,3,50,,,
129,3,26,,,
130,3,32,,,
131,1,157,,,
132,2,45,,,
133,2,52,,,
134,0,148,,,
135,2,91,,,
136,2,36,,,
137,2,102,,,
138,1,104,,,
139,3,86,,,
140,1,126,,,
141,2,84,,,
142,3,39,,,
143,0,155,,,
144,3,49,,,
145,3,28,,,
146,3,34,,,
147,1,151,,,
148,2,142,,,
149,3,60,,,
150,3,12,,,
151,2,70,,,
152,1,115,,,
153,2,103,,,
154,,162,,,
155,3,5,,,
156,3,1,,,
157,3,23,,,
158,0,129,,,
159,0,119,,,
160,2,121,,,
161,1,125,,,
162,0,159,,,
163,2,57,,,
164,3,35,,,
165,1,58,,,
166,2,108,,,
167,2,38,,,
168,0,145,,,
169,1,109,,,
170,3,77,,,
171,3,6,,,
172,3,27,,,
173,3,47,,,
174,1,136,,,
175,1,144,,,
176,2,51,,,
177,1,132,,,
178,1,117,,,
179,1,149,,,